FIPS,W,MAX_Completeness_pct,Weeks2MAX,IDX_W2M
01001,202110,-0.061571498534165,-1.4479154952260647,-1.3863439966918996
01003,202102,-0.055361709552470884,-1.5936273064074582,-1.5382655968549872
01005,202110,-0.061571498534165,-1.4479154952260647,-1.3863439966918996
01007,202110,-0.061571498534165,-1.4479154952260647,-1.3863439966918996
01009,202110,-0.061571498534165,-1.4479154952260647,-1.3863439966918996
01011,202102,-0.055361709552470884,-1.5936273064074582,-1.5382655968549872
01013,202110,-0.061571498534165,-1.4479154952260647,-1.3863439966918996
01015,202110,-0.061571498534165,-1.4479154952260647,-1.3863439966918996
01017,202110,-0.061571498534165,-1.4479154952260647,-1.3863439966918996
01019,202110,-0.061571498534165,-1.4479154952260647,-1.3863439966918996
01021,202110,-0.061571498534165,-1.4479154952260647,-1.3863439966918996
01023,202110,-0.061571498534165,-1.4479154952260647,-1.3863439966918996
01025,202110,-0.061571498534165,-1.4479154952260647,-1.3863439966918996
01027,202110,-0.061571498534165,-1.4479154952260647,-1.3863439966918996
01029,202110,-0.061571498534165,-1.4479154952260647,-1.3863439966918996
01031,202110,-0.061571498534165,-1.4479154952260647,-1.3863439966918996
01033,202110,-0.061571498534165,-1.4479154952260647,-1.3863439966918996
01035,202110,-0.061571498534165,-1.4479154952260647,-1.3863439966918996
01037,202110,-0.061571498534165,-1.4479154952260647,-1.3863439966918996
01039,202110,-0.061571498534165,-1.4479154952260647,-1.3863439966918996
01041,202110,-0.061571498534165,-1.4479154952260647,-1.3863439966918996
01043,202102,-0.055361709552470884,-1.5936273064074582,-1.5382655968549872
01045,202110,-0.061571498534165,-1.4479154952260647,-1.3863439966918996
01047,202110,-0.061571498534165,-1.4479154952260647,-1.3863439966918996
01049,202110,-0.061571498534165,-1.4479154952260647,-1.3863439966918996
01051,202102,-0.055361709552470884,-1.5936273064074582,-1.5382655968549872
01053,202110,-0.061571498534165,-1.4479154952260647,-1.3863439966918996
01055,202110,-0.061571498534165,-1.4479154952260647,-1.3863439966918996
01057,202110,-0.061571498534165,-1.4479154952260647,-1.3863439966918996
01059,202110,-0.061571498534165,-1.4479154952260647,-1.3863439966918996
01061,202110,-0.061571498534165,-1.4479154952260647,-1.3863439966918996
01063,202110,-0.061571498534165,-1.4479154952260647,-1.3863439966918996
01065,202110,-0.061571498534165,-1.4479154952260647,-1.3863439966918996
01067,202110,-0.061571498534165,-1.4479154952260647,-1.3863439966918996
01069,202102,-0.055361709552470884,-1.5936273064074582,-1.5382655968549872
01071,202102,-0.055361709552470884,-1.5936273064074582,-1.5382655968549872
01073,202102,-0.055361709552470884,-1.5936273064074582,-1.5382655968549872
01075,202110,-0.061571498534165,-1.4479154952260647,-1.3863439966918996
01077,202102,-0.055361709552470884,-1.5936273064074582,-1.5382655968549872
