Join_ID,FIPS,Point Coun
354,12067,1.0
355,12069,195.0
356,12071,509.0
357,12073,161.0
358,12075,20.0
359,12077,3.0
360,12079,8.0
361,12081,202.0
362,12083,201.0
363,12085,102.0
364,12086,2435.0
365,12087,75.0
366,12089,52.0
367,12091,149.0
368,12093,22.0
369,12095,819.0
370,12097,256.0
371,12099,1060.0
372,12101,334.0
373,12103,606.0
374,12105,330.0
375,12107,29.0
376,12109,134.0
377,12111,138.0
378,12113,102.0
379,12115,324.0
380,12117,270.0
381,12119,76.0
382,12121,17.0
383,12123,15.0
384,12125,4.0
385,12127,316.0
386,12129,10.0
387,12131,62.0
388,12133,11.0
389,13001,16.0
390,13003,4.0
391,13005,6.0
392,13007,2.0
393,13009,25.0
394,13011,3.0
395,13013,31.0
396,13015,51.0
397,13017,9.0
398,13019,6.0
399,13021,126.0
400,13023,7.0
401,13025,5.0
402,13027,9.0
403,13029,14.0
404,13031,38.0
405,13033,6.0
406,13035,6.0
407,13037,4.0
408,13039,27.0
409,13043,10.0
410,13045,66.0
411,13047,31.0
412,13049,7.0
413,13051,188.0
414,13053,5.0
415,13055,10.0
416,13057,115.0
417,13059,100.0
418,13061,1.0
419,13063,96.0
420,13065,5.0
421,13067,507.0
422,13069,26.0
423,13071,23.0
424,13073,47.0
425,13075,10.0
426,13077,73.0
427,13079,1.0
428,13081,14.0
429,13083,9.0
430,13085,21.0
431,13087,13.0
432,13089,398.0
433,13091,16.0
434,13093,3.0
435,13095,65.0
436,13097,63.0
437,13099,5.0
438,13101,2.0
439,13103,26.0
440,13105,10.0
441,13107,9.0
442,13109,7.0
443,13111,22.0
444,13113,97.0
445,13115,66.0
446,13117,120.0
447,13119,16.0
448,13121,746.0
449,13123,17.0
450,13125,0.0
451,13127,49.0
452,13129,28.0
453,13131,10.0
454,13133,17.0
455,13135,451.0
456,13137,30.0
457,13139,149.0
458,13141,2.0
459,13143,23.0
460,13145,5.0
461,13147,11.0
462,13149,3.0
463,13151,117.0
