Join_ID,FIPS,Point Coun
324,01049961100,10.0
325,01049961200,0.0
326,01049961300,
327,01049961400,1.0
328,01051030101,2.0
329,01051030102,
330,01051030103,
331,01051030200,
332,01051030300,
333,01051030401,4.0
334,01051030402,4.0
335,01051030500,2.0
336,01051030600,3.0
337,01051030701,1.0
338,01051030702,13.0
339,01051030801,2.0
340,01051030802,
341,01051030901,
342,01051030902,
343,01051031001,3.0
344,01051031002,5.0
345,01051031100,2.0
346,01051031200,0.0
347,01051031300,2.0
348,01053969801,
349,01053969802,1.0
350,01053969900,
351,01053970100,7.0
352,01053970200,
353,01053970300,1.0
354,01053970400,2.0
355,01053970500,
356,01053970600,2.0
357,01053970700,7.0
358,01055000200,0.0
359,01055000300,1.0
360,01055000400,4.0
361,01055000500,0.0
362,01055000600,2.0
363,01055000700,1.0
364,01055000800,2.0
365,01055000900,
366,01055001000,1.0
367,01055001100,4.0
368,01055001200,21.0
369,01055001300,9.0
370,01055001600,
371,01055001700,1.0
372,01055010100,0.0
373,01055010201,2.0
374,01055010202,4.0
375,01055010300,
376,01055010401,11.0
377,01055010402,1.0
378,01055010503,1.0
379,01055010504,3.0
380,01055010505,
381,01055010506,1.0
382,01055010601,2.0
383,01055010602,
384,01055010700,1.0
385,01055010800,1.0
386,01055010900,
387,01055011001,1.0
388,01055011002,
389,01055011100,1.0
390,01055011200,21.0
391,01057020000,
392,01057020100,
393,01057020200,2.0
394,01057020300,5.0
395,01057020400,1.0
396,01059972900,1.0
397,01059973000,6.0
398,01059973100,
399,01059973200,1.0
400,01059973300,0.0
401,01059973400,4.0
402,01059973500,
403,01059973600,
404,01059973701,
405,01059973702,3.0
406,01059973703,
407,01061050100,1.0
408,01061050200,
409,01061050300,7.0
410,01061050400,2.0
411,01061050500,3.0
412,01061050600,1.0
413,01063060000,
414,01063060101,1.0
415,01063060102,4.0
416,01063060200,
417,01065040000,2.0
418,01065040100,
419,01065040200,
420,01065040300,1.0
421,01065040401,3.0
422,01065040402,2.0
423,01065040500,1.0
424,01067030100,
425,01067030200,5.0
426,01067030300,
427,01067030400,
428,01067030500,1.0
429,01067030600,
430,01069040100,1.0
431,01069040203,2.0
432,01069040204,23.0
433,01069040205,1.0
434,01069040206,4.0
435,01069040301,3.0
436,01069040302,3.0
437,01069040400,6.0
438,01069040500,5.0
439,01069040600,2.0
440,01069040700,
441,01069040801,1.0
442,01069040802,2.0
443,01069040900,4.0
444,01069041000,12.0
445,01069041100,1.0
446,01069041200,2.0
